year,position,rank,weighted_hist_avg,final_ktc_at_rank,blended_lookup_value,competitor_curve_value
2020,QB,1,7198.28,9999,8878.71,8878.71
2020,QB,2,7132.19,9999,8852.27,8852.27
2020,QB,3,6805.15,8387,7754.26,7754.26
2020,QB,4,6038.92,8293,7391.37,7391.37
2020,QB,5,5816.64,8103,7188.46,7188.46
2020,QB,6,5365.9,7702,6767.56,6767.56
2020,QB,7,5048.71,7135,6300.48,6300.48
2020,QB,8,4848.15,6306,5722.86,5722.86
2020,QB,9,4633.81,6005,5456.52,5456.52
2020,QB,10,4438.04,5783,5245.02,5245.02
2020,QB,11,4309.31,5369,4945.12,4945.12
2020,QB,12,4085.88,5259,4789.75,4789.75
2020,QB,13,3872.37,5121,4621.55,4621.55
2020,QB,14,3731.42,5000,4492.57,4492.57
2020,QB,15,3663.17,4972,4448.47,4448.47
2020,QB,16,3622.36,4560,4184.94,4184.94
2020,QB,17,3463.17,4448,4054.07,4054.07
2020,QB,18,3393.0,4131,3835.8,3835.8
2020,QB,19,3230.04,4121,3764.62,3764.62
2020,QB,20,3074.14,4085,3680.65,3680.65
2020,QB,21,2897.55,3847,3467.22,3467.22
2020,QB,22,2810.39,3192,3039.35,3039.35
2020,QB,23,2742.46,2545,2623.99,2621.24
2020,QB,24,2475.45,2144,2276.58,2267.17
2020,QB,25,2399.63,2031,2178.45,2158.37
2020,QB,26,2299.68,1376,1745.47,1717.6
2020,QB,27,2211.01,866,1404.0,1370.11
2020,QB,28,2076.52,693,1246.41,1204.24
2020,QB,29,1906.62,594,1119.05,1069.01
2020,QB,30,1831.21,537,1054.68,994.62
2020,QB,31,1769.13,183,817.45,762.34
2020,QB,32,1662.34,178,771.74,709.56
2020,QB,33,1514.22,,771.74,698.05
2020,QB,34,1481.49,,771.74,685.98
2020,QB,35,1326.73,,771.74,673.45
2020,QB,36,1261.06,,771.74,660.55
2020,QB,37,1195.52,,771.74,647.39
2020,QB,38,1111.19,,771.74,634.05
2020,QB,39,1094.08,,771.74,620.62
2020,QB,40,1012.53,,771.74,607.16
2020,QB,41,979.56,,771.74,593.75
2020,QB,42,870.08,,771.74,580.43
2020,QB,43,852.0,,771.74,567.27
2020,QB,44,800.8,,771.74,554.31
2020,QB,45,779.79,,771.74,541.58
2020,QB,46,735.62,,735.62,507.08
2020,QB,47,714.87,,714.87,483.36
2020,QB,48,696.27,,696.27,461.95
2020,QB,49,676.72,,676.72,441.01
2020,QB,50,675.54,,675.54,430.87
2020,QB,51,580.49,,580.49,372.54
2020,QB,52,560.94,,560.94,355.47
2020,QB,53,537.42,,537.42,337.36
2020,QB,54,486.89,,486.89,307.59
2020,QB,55,505.95,,486.89,302.44
2020,QB,56,478.37,,478.37,293.74
2020,QB,57,490.1,,478.37,289.07
2020,QB,58,517.73,,478.37,284.58
2020,QB,59,495.71,,478.37,280.25
2020,QB,60,402.46,,402.46,246.94
2020,QB,61,425.65,,402.46,243.85
2020,QB,62,471.5,,402.46,240.89
2020,QB,63,367.02,,367.02,225.68
2020,QB,64,469.84,,367.02,223.32
2020,QB,65,469.84,,367.02,221.05
2020,QB,66,395.81,,367.02,218.87
2020,QB,67,396.52,,367.02,216.78
2020,QB,68,395.81,,367.02,214.76
2020,QB,69,395.81,,367.02,212.82
2020,QB,70,395.81,,367.02,210.96
2020,QB,71,422.87,,367.02,209.17
2020,QB,72,664.35,,367.02,207.45
2020,QB,73,664.35,,367.02,205.79
2020,QB,74,664.35,,367.02,204.2
2020,QB,75,329.51,,329.51,193.56
2020,QB,76,664.35,,329.51,192.34
2020,QB,77,664.35,,329.51,191.16
2020,QB,78,664.35,,329.51,190.03
2020,QB,79,664.35,,329.51,188.94
2020,QB,80,260.95,,260.95,173.42
2020,QB,81,260.95,,260.95,172.79
2020,QB,82,260.95,,260.95,172.19
2020,RB,1,6295.63,9999,8517.65,8517.65
2020,RB,2,5538.23,9983,8205.09,8205.09
2020,RB,3,5028.76,8928,7368.31,7368.31
2020,RB,4,4776.61,8361,6927.24,6927.24
2020,RB,5,4496.37,8350,6808.55,6808.55
2020,RB,6,4373.89,8154,6641.96,6641.96
2020,RB,7,4129.67,8139,6535.27,6535.27
2020,RB,8,3992.35,8043,6422.74,6422.74
2020,RB,9,3916.49,7635,6147.59,6147.59
2020,RB,10,3890.3,7602,6117.32,6117.32
2020,RB,11,3816.32,7429,5983.93,5983.93
2020,RB,12,3630.48,7410,5898.19,5898.19
2020,RB,13,3594.26,6916,5587.3,5587.3
2020,RB,14,3491.11,6777,5462.64,5462.64
2020,RB,15,3360.5,6225,5079.2,5079.2
2020,RB,16,3269.31,6184,5018.12,5018.12
2020,RB,17,3170.6,5647,4656.44,4656.44
2020,RB,18,3051.18,4787,4092.67,4092.67
2020,RB,19,2925.14,4784,4040.46,4040.46
2020,RB,20,2889.22,4649,3945.09,3945.09
2020,RB,21,2866.53,4588,3899.41,3899.41
2020,RB,22,2724.2,4360,3705.68,3705.68
2020,RB,23,2631.5,3952,3423.8,3423.8
2020,RB,24,2566.59,3542,3151.84,3151.84
2020,RB,25,2529.4,3321,3004.36,3004.36
2020,RB,26,2533.74,3131,2892.1,2889.05
2020,RB,27,2486.77,2512,2501.91,2491.5
2020,RB,28,2442.82,2154,2269.53,2248.54
2020,RB,29,2365.56,1802,2027.43,1994.63
2020,RB,30,2336.1,1707,1958.64,1909.76
2020,RB,31,2308.39,1586,1874.96,1808.61
2020,RB,32,2282.1,1434,1773.24,1689.43
2020,RB,33,2260.42,1262,1661.37,1561.03
2020,RB,34,2211.4,1248,1633.36,1510.88
2020,RB,35,2217.21,837,1389.08,1265.18
2020,RB,36,2153.63,830,1359.45,1216.12
2020,RB,37,2112.32,817,1335.13,1171.66
2020,RB,38,2075.03,646,1217.61,1048.83
2020,RB,39,2041.09,569,1157.84,977.6
2020,RB,40,1985.45,399,1033.58,856.86
2020,RB,41,1973.34,274,953.74,775.75
2020,RB,42,1949.73,249,929.29,739.88
2020,RB,43,1856.32,247,890.73,694.65
2020,RB,44,1823.15,170,831.26,636.23
2020,RB,45,1788.87,138,798.35,598.86
2020,RB,46,1751.88,128,777.55,571.18
2020,RB,47,1724.93,39,713.37,516.35
2020,RB,48,1661.38,,713.37,504.82
2020,RB,49,1654.29,,713.37,493.52
2020,RB,50,1580.6,,713.37,482.48
2020,RB,51,1572.46,,713.37,471.72
2020,RB,52,1538.47,,713.37,461.26
2020,RB,53,1494.27,,713.37,451.09
2020,RB,54,1448.24,,713.37,441.23
2020,RB,55,1417.98,,713.37,431.69
2020,RB,56,1370.05,,713.37,422.45
2020,RB,57,1343.97,,713.37,413.53
2020,RB,58,1304.99,,713.37,404.92
2020,RB,59,1291.66,,713.37,396.61
2020,RB,60,1278.53,,713.37,388.6
2020,RB,61,1270.97,,713.37,380.89
2020,RB,62,1264.71,,713.37,373.46
2020,RB,63,1244.09,,713.37,366.31
2020,RB,64,1223.77,,713.37,359.43
2020,RB,65,1215.13,,713.37,352.81
2020,RB,66,1148.92,,713.37,346.45
2020,RB,67,1142.15,,713.37,340.33
2020,RB,68,1138.81,,713.37,334.44
2020,RB,69,1128.68,,713.37,328.79
2020,RB,70,1119.41,,713.37,323.35
2020,RB,71,1079.48,,713.37,318.12
2020,RB,72,1072.84,,713.37,313.09
2020,RB,73,1046.28,,713.37,308.25
2020,RB,74,1049.13,,713.37,303.6
2020,RB,75,1009.95,,713.37,299.13
2020,RB,76,994.44,,713.37,294.83
2020,RB,77,956.89,,713.37,290.69
2020,RB,78,923.78,,713.37,286.7
2020,RB,79,919.68,,713.37,282.87
2020,RB,80,890.92,,713.37,279.18
2020,RB,81,896.22,,713.37,275.63
2020,RB,82,873.64,,713.37,272.21
2020,RB,83,850.8,,713.37,268.91
2020,RB,84,832.1,,713.37,265.73
2020,RB,85,829.93,,713.37,262.67
2020,RB,86,799.59,,713.37,259.72
2020,RB,87,792.55,,713.37,256.88
2020,RB,88,775.34,,713.37,254.14
2020,RB,89,777.15,,713.37,251.49
2020,RB,90,772.96,,713.37,248.93
2020,RB,91,747.72,,713.37,246.47
2020,RB,92,645.51,,645.51,232.75
2020,RB,93,634.24,,634.24,228.9
2020,RB,94,634.24,,634.24,226.99
2020,RB,95,633.41,,633.41,225.01
2020,RB,96,573.92,,573.92,214.22
2020,RB,97,569.03,,569.03,211.99
2020,RB,98,520.36,,520.36,203.51
2020,RB,99,531.09,,520.36,202.28
2020,RB,100,513.55,,513.55,200.14
2020,RB,101,500.09,,500.09,197.2
2020,RB,102,500.09,,500.09,196.14
2020,RB,103,493.39,,493.39,194.25
2020,RB,104,493.39,,493.39,193.28
2020,RB,105,491.63,,491.63,192.12
2020,RB,106,478.79,,478.79,189.66
2020,RB,107,463.27,,463.27,186.98
2020,RB,108,465.03,,463.27,186.2
2020,RB,109,463.27,,463.27,185.44
2020,RB,110,457.8,,457.8,184.09
2020,RB,111,457.8,,457.8,183.39
2020,RB,112,428.29,,428.29,179.57
2020,RB,113,424.23,,424.23,178.55
2020,RB,114,408.88,,408.88,176.41
2020,RB,115,416.82,,408.88,175.89
2020,RB,116,416.82,,408.88,175.38
2020,RB,117,408.88,,408.88,174.88
2020,RB,118,382.97,,382.97,171.96
2020,RB,119,382.97,,382.97,171.54
2020,RB,120,371.86,,371.86,170.12
2020,RB,121,365.73,,365.73,169.19
2020,RB,122,333.61,,333.61,166.03
2020,RB,123,333.61,,333.61,165.73
2020,RB,124,333.61,,333.61,165.44
2020,RB,125,326.59,,326.59,164.58
2020,RB,126,326.59,,326.59,164.32
2020,RB,127,299.48,,299.48,161.9
2020,RB,128,299.48,,299.48,161.69
2020,RB,129,299.48,,299.48,161.48
2020,RB,130,285.16,,285.16,160.2
2020,RB,131,267.98,,267.98,158.75
2020,RB,132,279.62,,267.98,158.6
2020,RB,133,126.52,,126.52,126.52
2020,RB,134,126.52,,126.52,126.52
2020,RB,135,126.52,,126.52,126.52
2020,RB,136,126.52,,126.52,126.52
2020,RB,137,126.52,,126.52,126.52
2020,RB,138,126.52,,126.52,126.52
2020,RB,139,126.52,,126.52,126.52
2020,RB,140,126.52,,126.52,126.52
2020,WR,1,6893.91,9111,8224.16,8224.16
2020,WR,2,6378.98,8291,7526.19,7526.19
2020,WR,3,5692.89,8092,7132.36,7132.36
2020,WR,4,5470.08,7968,6968.83,6968.83
2020,WR,5,5207.72,7881,6811.69,6811.69
2020,WR,6,4961.01,7481,6473.0,6473.0
2020,WR,7,4844.34,7236,6279.34,6279.34
2020,WR,8,4731.26,7189,6205.9,6205.9
2020,WR,9,4571.73,6666,5828.29,5828.29
2020,WR,10,4499.94,6552,5731.18,5731.18
2020,WR,11,4264.19,6502,5606.88,5606.88
2020,WR,12,4161.26,6491,5559.1,5559.1
2020,WR,13,4025.98,6427,5466.59,5466.59
2020,WR,14,4011.9,6403,5446.56,5446.56
2020,WR,15,3986.24,6343,5400.3,5400.3
2020,WR,16,3872.48,6306,5332.59,5332.59
2020,WR,17,3806.83,6231,5261.33,5261.33
2020,WR,18,3695.04,6177,5184.22,5184.22
2020,WR,19,3562.54,6083,5074.82,5074.82
2020,WR,20,3576.15,5731,4869.06,4869.06
2020,WR,21,3495.12,5669,4799.45,4799.45
2020,WR,22,3497.45,5471,4681.58,4681.58
2020,WR,23,3421.51,5450,4638.61,4638.61
2020,WR,24,3384.16,5439,4617.07,4617.07
2020,WR,25,3361.11,5350,4554.44,4554.44
2020,WR,26,3306.38,5313,4510.35,4510.35
2020,WR,27,3241.71,5210,4422.68,4422.68
2020,WR,28,3221.48,4975,4273.59,4273.59
2020,WR,29,3171.69,4884,4199.08,4199.08
2020,WR,30,3062.4,4849,4134.36,4134.36
2020,WR,31,3026.92,4431,3869.37,3869.37
2020,WR,32,3002.68,4257,3755.27,3755.27
2020,WR,33,2935.14,4234,3714.45,3714.45
2020,WR,34,2905.57,4138,3645.03,3645.03
2020,WR,35,2814.75,4134,3606.3,3606.3
2020,WR,36,2808.13,4008,3528.05,3528.05
2020,WR,37,2705.69,3854,3394.68,3394.68
2020,WR,38,2636.92,3710,3280.77,3280.77
2020,WR,39,2551.95,3621,3193.38,3193.38
2020,WR,40,2539.23,3377,3041.89,3041.89
2020,WR,41,2507.88,3247,2951.35,2948.24
2020,WR,42,2474.74,2759,2645.3,2634.26
2020,WR,43,2435.22,2716,2603.69,2579.39
2020,WR,44,2404.42,2589,2515.17,2473.86
2020,WR,45,2404.43,2374,2386.17,2325.74
2020,WR,46,2354.2,2048,2170.48,2092.77
2020,WR,47,2271.08,1844,2014.83,1918.55
2020,WR,48,2270.46,1736,1949.79,1830.3
2020,WR,49,2226.24,1268,1651.3,1527.34
2020,WR,50,2170.35,865,1387.14,1263.42
2020,WR,51,2149.63,748,1308.65,1171.34
2020,WR,52,2095.54,647,1226.42,1077.95
2020,WR,53,2076.18,602,1191.67,1026.99
2020,WR,54,2048.67,578,1166.27,984.53
2020,WR,55,2029.38,570,1153.75,953.0
2020,WR,56,1968.61,494,1083.84,877.04
2020,WR,57,1939.01,471,1058.2,837.45
2020,WR,58,1907.95,461,1039.78,804.25
2020,WR,59,1897.24,446,1026.5,775.57
2020,WR,60,1859.34,328,940.54,697.29
2020,WR,61,1824.37,313,917.55,665.13
2020,WR,62,1832.03,307,917.01,648.78
2020,WR,63,1790.2,290,890.08,616.11
2020,WR,64,1789.93,272,879.17,594.62
2020,WR,65,1740.91,226,831.97,552.47
2020,WR,66,1742.24,162,794.1,517.82
2020,WR,67,1720.79,130,766.32,490.51
2020,WR,68,1692.04,62,714.02,451.43
2020,WR,69,1666.55,40,690.62,429.47
2020,WR,70,1631.95,,690.62,420.31
2020,WR,71,1584.97,,690.62,411.45
2020,WR,72,1527.68,,690.62,402.89
2020,WR,73,1465.06,,690.62,394.62
2020,WR,74,1459.93,,690.62,386.65
2020,WR,75,1433.55,,690.62,378.97
2020,WR,76,1409.8,,690.62,371.57
2020,WR,77,1405.68,,690.62,364.44
2020,WR,78,1390.12,,690.62,357.58
2020,WR,79,1357.23,,690.62,350.97
2020,WR,80,1319.36,,690.62,344.62
2020,WR,81,1289.78,,690.62,338.52
2020,WR,82,1261.77,,690.62,332.64
2020,WR,83,1253.13,,690.62,326.99
2020,WR,84,1237.0,,690.62,321.56
2020,WR,85,1249.95,,690.62,316.34
2020,WR,86,1208.69,,690.62,311.33
2020,WR,87,1184.38,,690.62,306.5
2020,WR,88,1176.51,,690.62,301.86
2020,WR,89,1161.54,,690.62,297.4
2020,WR,90,1120.78,,690.62,293.11
2020,WR,91,1126.2,,690.62,288.98
2020,WR,92,1097.03,,690.62,285.0
2020,WR,93,1108.1,,690.62,281.18
2020,WR,94,1085.26,,690.62,277.5
2020,WR,95,1070.8,,690.62,273.96
2020,WR,96,1043.0,,690.62,270.55
2020,WR,97,1045.83,,690.62,267.27
2020,WR,98,1030.21,,690.62,264.11
2020,WR,99,1026.28,,690.62,261.06
2020,WR,100,1000.75,,690.62,258.12
2020,WR,101,937.48,,690.62,255.29
2020,WR,102,932.03,,690.62,252.56
2020,WR,103,914.44,,690.62,249.93
2020,WR,104,907.09,,690.62,247.39
2020,WR,105,888.71,,690.62,244.94
2020,WR,106,870.9,,690.62,242.57
2020,WR,107,859.57,,690.62,240.29
2020,WR,108,853.65,,690.62,238.08
2020,WR,109,859.63,,690.62,235.95
2020,WR,110,837.54,,690.62,233.89
2020,WR,111,849.33,,690.62,231.9
2020,WR,112,827.36,,690.62,229.97
2020,WR,113,798.21,,690.62,228.11
2020,WR,114,799.97,,690.62,226.31
2020,WR,115,794.93,,690.62,224.57
2020,WR,116,752.71,,690.62,222.88
2020,WR,117,731.05,,690.62,221.25
2020,WR,118,703.16,,690.62,219.67
2020,WR,119,723.59,,690.62,218.14
2020,WR,120,712.48,,690.62,216.65
2020,WR,121,708.25,,690.62,215.21
2020,WR,122,685.04,,685.04,213.16
2020,WR,123,685.04,,685.04,211.82
2020,WR,124,671.28,,671.28,208.97
2020,WR,125,654.35,,654.35,205.87
2020,WR,126,654.83,,654.35,204.71
2020,WR,127,640.92,,640.92,202.17
2020,WR,128,642.77,,640.92,201.11
2020,WR,129,638.12,,638.12,199.8
2020,WR,130,636.35,,636.35,198.64
2020,WR,131,638.12,,636.35,197.68
2020,WR,132,624.83,,624.83,195.64
2020,WR,133,605.51,,605.51,192.93
2020,WR,134,599.21,,599.21,191.53
2020,WR,135,594.94,,594.94,190.35
2020,WR,136,584.2,,584.2,188.63
2020,WR,137,564.76,,564.76,186.21
2020,WR,138,567.83,,564.76,185.54
2020,WR,139,564.3,,564.3,184.84
2020,WR,140,557.42,,557.42,183.64
2020,WR,141,515.17,,515.17,179.61
2020,WR,142,519.05,,515.17,179.07
2020,WR,143,461.61,,461.61,174.37
2020,WR,144,465.88,,461.61,173.94
2020,WR,145,459.62,,459.62,173.37
2020,WR,146,459.62,,459.62,172.96
2020,WR,147,428.64,,428.64,170.31
2020,WR,148,418.04,,418.04,169.2
2020,WR,149,414.69,,414.69,168.64
2020,WR,150,410.11,,410.11,168.01
2020,WR,151,400.59,,400.59,167.06
2020,WR,152,386.4,,386.4,165.83
2020,WR,153,389.39,,386.4,165.56
2020,WR,154,389.39,,386.4,165.31
2020,WR,155,389.39,,386.4,165.06
2020,WR,156,386.4,,386.4,164.82
2020,WR,157,382.16,,382.16,164.32
2020,WR,158,359.58,,359.58,162.72
2020,WR,159,346.11,,346.11,161.72
2020,WR,160,346.11,,346.11,161.54
2020,WR,161,334.82,,334.82,160.7
2020,WR,162,377.6,,334.82,160.54
2020,WR,163,377.6,,334.82,160.38
2020,WR,164,377.6,,334.82,160.22
2020,WR,165,360.96,,334.82,160.07
2020,WR,166,363.39,,334.82,159.92
2020,WR,167,420.03,,334.82,159.77
2020,WR,168,413.49,,334.82,159.62
2020,WR,169,407.44,,334.82,159.48
2020,WR,170,392.72,,334.82,159.34
2020,WR,171,394.73,,334.82,159.21
2020,WR,172,392.72,,334.82,159.08
2020,WR,173,392.72,,334.82,158.95
2020,WR,174,387.43,,334.82,158.82
2020,WR,175,391.96,,334.82,158.7
2020,WR,176,391.96,,334.82,158.58
2020,WR,177,386.17,,334.82,158.46
2020,WR,178,318.43,,318.43,157.6
2020,WR,179,296.76,,296.76,156.53
2020,WR,180,296.76,,296.76,156.44
2020,WR,181,279.11,,279.11,155.59
2020,WR,182,278.36,,278.36,155.48
2020,WR,183,259.71,,259.71,154.63
2020,WR,184,231.71,,231.71,153.4
2020,WR,185,231.71,,231.71,153.35
2020,WR,186,236.11,,231.71,153.31
2020,TE,1,5630.05,8944,7618.42,7618.42
2020,TE,2,4807.76,7956,6696.7,6696.7
2020,TE,3,4229.18,7197,6009.87,6009.87
2020,TE,4,4061.76,5840,5128.7,5128.7
2020,TE,5,3670.89,5698,4887.16,4887.16
2020,TE,6,3474.69,5091,4444.48,4444.48
2020,TE,7,3029.6,4966,4191.44,4191.44
2020,TE,8,2918.81,4886,4099.12,4099.12
2020,TE,9,2737.1,4716,3924.44,3924.44
2020,TE,10,2649.94,4344,3666.38,3666.38
2020,TE,11,2521.14,4233,3548.26,3548.26
2020,TE,12,2418.16,3964,3345.66,3345.66
2020,TE,13,2302.58,3445,2988.03,2988.03
2020,TE,14,2206.5,3394,2919.0,2915.93
2020,TE,15,2172.52,3366,2888.61,2876.49
2020,TE,16,2158.5,2656,2457.0,2434.16
2020,TE,17,2068.63,1806,1911.05,1880.29
2020,TE,18,2021.97,1795,1885.79,1838.88
2020,TE,19,1965.35,1644,1772.54,1710.13
2020,TE,20,1809.48,1220,1455.79,1388.37
2020,TE,21,1735.63,1191,1408.85,1325.28
2020,TE,22,1692.07,908,1221.63,1133.15
2020,TE,23,1633.28,718,1084.11,990.7
2020,TE,24,1598.22,618,1010.09,908.16
2020,TE,25,1519.72,536,929.49,821.97
2020,TE,26,1484.79,406,837.52,728.83
2020,TE,27,1460.66,385,815.26,696.29
2020,TE,28,1417.16,344,773.27,648.61
2020,TE,29,1355.94,273,706.17,583.01
2020,TE,30,1326.61,270,692.64,560.75
2020,TE,31,1286.93,,692.64,549.0
2020,TE,32,1265.15,,692.64,537.29
2020,TE,33,1246.37,,692.64,525.68
2020,TE,34,1187.48,,692.64,514.19
2020,TE,35,1197.03,,692.64,502.87
2020,TE,36,1151.35,,692.64,491.76
2020,TE,37,1143.6,,692.64,480.88
2020,TE,38,1108.5,,692.64,470.25
2020,TE,39,1087.41,,692.64,459.88
2020,TE,40,1049.26,,692.64,449.8
2020,TE,41,1033.13,,692.64,440.01
2020,TE,42,963.05,,692.64,430.52
2020,TE,43,931.82,,692.64,421.32
2020,TE,44,903.25,,692.64,412.43
2020,TE,45,901.24,,692.64,403.83
2020,TE,46,895.6,,692.64,395.54
2020,TE,47,879.5,,692.64,387.54
2020,TE,48,862.39,,692.64,379.83
2020,TE,49,854.34,,692.64,372.39
2020,TE,50,835.49,,692.64,365.24
2020,TE,51,820.59,,692.64,358.35
2020,TE,52,807.06,,692.64,351.73
2020,TE,53,759.29,,692.64,345.35
2020,TE,54,695.81,,692.64,339.22
2020,TE,55,748.8,,692.64,333.33
2020,TE,56,740.23,,692.64,327.66
2020,TE,57,723.94,,692.64,322.21
2020,TE,58,708.91,,692.64,316.97
2020,TE,59,708.91,,692.64,311.93
2020,TE,60,687.79,,687.79,305.68
2020,TE,61,647.58,,647.58,289.77
2020,TE,62,646.7,,646.7,285.42
2020,TE,63,639.22,,639.22,279.5
2020,TE,64,627.74,,627.74,272.81
2020,TE,65,598.95,,598.95,262.11
2020,TE,66,598.95,,598.95,258.94
2020,TE,67,598.95,,598.95,255.88
2020,TE,68,595.55,,595.55,252.17
2020,TE,69,565.82,,565.82,242.72
2020,TE,70,565.82,,565.82,240.2
2020,TE,71,553.61,,553.61,235.19
2020,TE,72,553.61,,553.61,232.91
2020,TE,73,553.61,,553.61,230.72
2020,TE,74,443.48,,443.48,207.16
2020,TE,75,499.42,,443.48,205.68
2020,TE,76,499.42,,443.48,204.25
2020,TE,77,427.92,,427.92,200.07
2020,TE,78,427.92,,427.92,198.8
2020,TE,79,427.92,,427.92,197.59
2020,TE,80,427.92,,427.92,196.41
2020,TE,81,427.92,,427.92,195.28
2020,TE,82,427.92,,427.92,194.18
2020,TE,83,364.73,,364.73,183.32
2020,TE,84,364.73,,364.73,182.53
2021,QB,1,7945.52,9999,9177.61,9177.61
2021,QB,2,7872.57,9924,9103.43,9103.43
2021,QB,3,7511.59,8761,8261.23,8261.23
2021,QB,4,6665.81,7994,7462.73,7462.73
2021,QB,5,6420.46,7966,7347.78,7347.78
2021,QB,6,5922.92,7435,6830.17,6830.17
2021,QB,7,5572.81,7137,6511.32,6511.32
2021,QB,8,5351.43,6545,6067.57,6067.57
2021,QB,9,5114.83,6536,5967.53,5967.53
2021,QB,10,4898.74,6497,5857.7,5857.7
2021,QB,11,4756.65,6214,5631.06,5631.06
2021,QB,12,4510.03,5928,5360.81,5360.81
2021,QB,13,4274.35,5366,4929.34,4929.34
2021,QB,14,4118.77,5362,4864.71,4864.71
2021,QB,15,4043.44,5214,4745.78,4745.78
2021,QB,16,3998.39,5168,4700.16,4700.16
2021,QB,17,3822.68,5065,4568.07,4568.07
2021,QB,18,3745.23,4980,4486.09,4486.09
2021,QB,19,3565.35,4760,4282.14,4282.14
2021,QB,20,3393.26,4236,3898.9,3898.9
2021,QB,21,3198.34,3589,3432.74,3432.74
2021,QB,22,3102.13,3497,3339.05,3339.05
2021,QB,23,3027.16,3272,3174.06,3170.71
2021,QB,24,2732.42,3261,3049.57,3036.74
2021,QB,25,2648.73,3127,2935.69,2908.11
2021,QB,26,2538.4,3037,2837.56,2790.62
2021,QB,27,2440.53,2945,2743.21,2673.13
2021,QB,28,2292.08,1763,1974.63,1904.45
2021,QB,29,2104.54,1379,1669.22,1590.77
2021,QB,30,2021.3,1323,1602.32,1505.9
2021,QB,31,1952.78,1292,1556.31,1440.2
2021,QB,32,1834.91,1280,1501.96,1366.77
2021,QB,33,1671.41,1077,1314.76,1176.73
2021,QB,34,1635.28,1035,1275.11,1119.93
2021,QB,35,1464.45,933,1145.58,988.19
2021,QB,36,1391.97,354,769.19,658.46
2021,QB,37,1319.62,,769.19,645.35
2021,QB,38,1226.54,,769.19,632.07
2021,QB,39,1207.65,,769.19,618.69
2021,QB,40,1117.64,,769.19,605.29
2021,QB,41,1081.24,,769.19,591.93
2021,QB,42,960.41,,769.19,578.67
2021,QB,43,940.45,,769.19,565.56
2021,QB,44,883.94,,769.19,552.65
2021,QB,45,860.74,,769.19,539.97
2021,QB,46,811.98,,769.19,527.55
2021,QB,47,789.08,,769.19,515.42
2021,QB,48,768.55,,768.55,503.23
2021,QB,49,746.97,,746.97,479.82
2021,QB,50,745.66,,745.66,468.35
2021,QB,51,640.75,,640.75,403.69
2021,QB,52,619.17,,619.17,384.59
2021,QB,53,593.21,,593.21,364.34
2021,QB,54,537.43,,537.43,331.23
2021,QB,55,558.47,,537.43,325.31
2021,QB,56,528.03,,528.03,315.48
2021,QB,57,540.98,,528.03,310.11
2021,QB,58,571.47,,528.03,304.93
2021,QB,59,547.16,,528.03,299.95
2021,QB,60,444.24,,444.24,262.98
2021,QB,61,469.83,,444.24,259.38
2021,QB,62,520.45,,444.24,255.93
2021,QB,63,405.12,,405.12,238.96
2021,QB,64,518.61,,405.12,236.19
2021,QB,65,518.61,,405.12,233.52
2021,QB,66,436.89,,405.12,230.96
2021,QB,67,437.68,,405.12,228.5
2021,QB,68,436.89,,405.12,226.13
2021,QB,69,436.89,,405.12,223.85
2021,QB,70,436.89,,405.12,221.66
2021,QB,71,466.77,,405.12,219.56
2021,QB,72,733.32,,405.12,217.53
2021,QB,73,733.32,,405.12,215.58
2021,QB,74,733.32,,405.12,213.71
2021,QB,75,363.72,,363.72,201.86
2021,QB,76,733.32,,363.72,200.41
2021,QB,77,733.32,,363.72,199.01
2021,QB,78,733.32,,363.72,197.66
2021,QB,79,733.32,,363.72,196.36
2021,QB,80,288.04,,288.04,179.14
2021,QB,81,288.04,,288.04,178.36
2021,QB,82,288.04,,288.04,177.61
2021,RB,1,6949.17,9608,8544.47,8544.47
2021,RB,2,6113.15,7347,6853.46,6853.46
2021,RB,3,5550.79,7321,6612.92,6612.92
2021,RB,4,5272.46,7300,6488.99,6488.99
2021,RB,5,4963.13,7025,6200.25,6200.25
2021,RB,6,4827.94,6843,6036.97,6036.97
2021,RB,7,4558.36,6789,5896.74,5896.74
2021,RB,8,4406.79,6441,5627.32,5627.32
2021,RB,9,4323.05,6290,5503.22,5503.22
2021,RB,10,4294.14,6260,5473.66,5473.66
2021,RB,11,4212.49,6019,5296.39,5296.39
2021,RB,12,4007.35,5948,5171.74,5171.74
2021,RB,13,3967.37,5923,5140.75,5140.75
2021,RB,14,3853.52,5770,5003.41,5003.41
2021,RB,15,3709.35,5745,4930.74,4930.74
2021,RB,16,3608.69,5465,4722.48,4722.48
2021,RB,17,3499.74,5028,4416.7,4416.7
2021,RB,18,3367.92,4757,4201.37,4201.37
2021,RB,19,3228.79,4664,4089.92,4089.92
2021,RB,20,3189.14,4620,4047.66,4047.66
2021,RB,21,3164.1,4583,4015.44,4015.44
2021,RB,22,3007.0,4568,3943.6,3943.6
2021,RB,23,2904.68,4386,3793.47,3793.47
2021,RB,24,2833.02,3860,3449.21,3449.21
2021,RB,25,2791.97,3753,3368.59,3368.59
2021,RB,26,2796.77,3689,3332.11,3332.11
2021,RB,27,2744.92,3590,3251.97,3251.97
2021,RB,28,2696.41,3508,3183.36,3183.36
2021,RB,29,2611.13,3404,3086.85,3083.59
2021,RB,30,2578.61,3298,3010.24,2997.59
2021,RB,31,2548.02,3086,2870.81,2843.87
2021,RB,32,2519.0,3007,2811.8,2765.3
2021,RB,33,2495.07,2864,2716.43,2647.06
